Metabolite/s,Nº carbons,Symmetry,Constant,large  unlabelled pool
"glc_e,glc_c",,,,yes
"glc6p_a_c,glc1p_c,udpglc_c",6,,,
glygn_e,6,,,yes
"glc6p_b_c,fru6p_c,pglclac_c,glucon6p_c",,,,
fru16bp_c,,,,
"gap_c,dhap_c",,,,
"bpg13_c,3pg_c,2pg_c",,,,
pep_c,,,,
pyr_a_c,,,,
"pyr_b_c,pyr_m",,,,
"lac_c,lac_e",,,,
"rib5p_c,rul5p_c,xyl5p_c",5,,,
sed7p_c,,,,
e4p_c,,,,
accoa_m,2,,,
accoa_c,2,,,
"cit_m,icit_m,cit_c,icit_c",,,,
"akg_m,akg_c",,,,
succoa_m,4,,,
succ_m,,yes,,
"mal_m,mal_c",,,,
fum_m,,yes,,
oaa_c,,,,
oaa_m,,,,
"asp_c,asp_m",,,,
"glu_e,glu_c,glu_m",,,,
"gln_e,gln_c,gln_m",,,,yes
"co2_e,co2_c,co2_m,hco3_c,hco3_m",,yes,yes,
,,,,
Reaction,Substrates,Products,,
fba,"fru16bp_c(c1,c2,c3,c4,c5,c6)","dhap_c(c3,c2,c1)+gap_c(c4,c5,c6)",,
gnd,"glucon6p_c(c1,c2,c3,c4,c5,c6)","rul5p_c(c2,c3,c4,c5,c6)",,
tkt1,"xyl5p_c(x1,x2,x3,x4,x5)+rib5p_c(r1,r2,r3,r4,r5)","gap_c(x3,x4,x5)+sed7p_c(x1,x2,r1,r2,r3,r4,r5)",,
tkt2,"xyl5p_c(x1,x2,x3,x4,x5)+e4p_c(e1,e2,e3,e4)","gap_c(x3,x4,x5)+fru6p_c(x1,x2,e1,e2,e3,e4)",,
tala,"sed7p_c(s1,s2,s3,s4,s5,s6,s7)+gap_c(g1,g2,g3)","fru6p_c(s1,s2,s3,g1,g2,g3)+e4p_c(s4,s5,s6,s7)",,
pdhm,"pyr_m(c1,c2,c3)","accoa_m(c2,c3)",,
pcm,"pyr_m(c1,c2,c3)+co2_c(co2)","oaa_m(c1,c2,c3,co2)",,
pepck,"oaa_c(c1,c2,c3,c4)","pep_c(c1,c2,c3)",,
csm,"oaa_m(c1,c2,c3,c4)+accoa_m(c5,c6)","cit_m(c4,c3,c2,c1,c6,c5)",,
"icdhxm,icdhy","icit_m(c1,c2,c3,c4,c5,c6)","akg_m(c1,c2,c3,c5,c6)+co2_m(c4)",,
akgdm,"akg_m(c1,c2,c3,c4,c5)","succoa_m(c2,c3,c4,c5)",,
asptam,"akg_m(c1,c2,c3,c4,c5)+asp_m(c6,c7,c8,c9)","glu_m(c1,c2,c3,c4,c5)+oaa_m(c6,c7,c8,c9)",,
asptac,"akg_c(c1,c2,c3,c4,c5)+asp_c(c6,c7,c8,c9)","glu_c(c1,c2,c3,c4,c5)+oaa_c(c6,c7,c8,c9)",,
me2,"mal_c(c1,c2,c3,c4)","pyr_b_c(c1,c2,c3)",,
acitl,"cit_c(c1,c2,c3,c4,c5,c6)","oaa_c(c4,c3,c2,c1)+accoa_c(c6,c5)",,
